retrieval_date,listed_currency,exchange_rate,bid_rate,offer_rate,last_updated_time,unit_currency
2026-01-08T10:43:58.099+00:00,AED,2.507350,2.461900,2.552800,2026-01-08T10:30:00.468+00:00,SEK
2026-01-08T10:43:58.099+00:00,AFN,0.139400,0.138300,0.140500,2026-01-08T10:30:00.840+00:00,SEK
2026-01-08T10:43:58.099+00:00,ALL,0.111300,0.110100,0.112500,2026-01-08T10:30:00.344+00:00,SEK
2026-01-08T10:43:58.099+00:00,AMD,0.024150,0.023800,0.024500,2026-01-08T10:30:00.327+00:00,SEK
2026-01-08T10:43:58.099+00:00,ANG,5.110750,5.029400,5.192100,2026-01-08T10:30:00.512+00:00,SEK
2026-01-08T10:43:58.099+00:00,AOA,0.010000,0.009800,0.010200,2026-01-08T10:30:00.530+00:00,SEK
2026-01-08T10:43:58.099+00:00,ARS,0.006297,0.006195,0.006399,2026-01-08T10:30:00.769+00:00,SEK
2026-01-08T10:43:58.099+00:00,AUD,6.164950,6.127350,6.202550,2026-01-08T10:30:00.328+00:00,SEK
2026-01-08T10:43:58.099+00:00,AWG,5.090000,4.970000,5.210000,2026-01-08T10:30:01.016+00:00,SEK
2026-01-08T10:43:58.099+00:00,AZN,5.415000,5.360000,5.470000,2026-01-08T10:30:01.009+00:00,SEK
2026-01-08T10:43:58.099+00:00,BAM,5.493500,5.437500,5.549500,2026-01-08T10:30:00.647+00:00,SEK
2026-01-08T10:43:58.099+00:00,BBD,4.572950,4.508800,4.637100,2026-01-08T10:30:01.510+00:00,SEK
2026-01-08T10:43:58.099+00:00,BDT,0.075400,0.074600,0.076200,2026-01-08T10:30:01.520+00:00,SEK
2026-01-08T10:43:58.099+00:00,BGN,5.522150,5.437500,5.606800,2026-01-02T21:30:00.500+00:00,SEK
2026-01-08T10:43:58.099+00:00,BHD,24.331850,23.838800,24.824900,2026-01-05T21:30:01.053+00:00,SEK
2026-01-08T10:43:58.099+00:00,BIF,0.003112,0.003080,0.003144,2026-01-08T10:30:01.606+00:00,SEK
2026-01-08T10:43:58.099+00:00,BMD,9.209400,9.152500,9.266300,2026-01-08T10:30:00.857+00:00,SEK
2026-01-08T10:43:58.099+00:00,BND,7.171800,7.126000,7.217600,2026-01-08T10:30:01.623+00:00,SEK
2026-01-08T10:43:58.099+00:00,BOB,1.328200,1.305700,1.350700,2026-01-08T10:30:01.625+00:00,SEK
2026-01-08T10:43:58.099+00:00,BRL,1.709289,1.658660,1.759918,2026-01-08T10:30:01.647+00:00,SEK
2026-01-08T10:43:58.099+00:00,BSD,9.208800,9.151900,9.265700,2026-01-08T10:30:01.649+00:00,SEK
2026-01-08T10:43:58.099+00:00,BWP,0.690000,0.622300,0.757700,2026-01-08T10:30:01.659+00:00,SEK
2026-01-08T10:43:58.099+00:00,BYN,3.120600,3.060100,3.181100,2026-01-08T10:30:01.659+00:00,SEK
2026-01-08T10:43:58.099+00:00,BZD,4.579300,4.526400,4.632200,2026-01-08T10:30:01.669+00:00,SEK
2026-01-08T10:43:58.099+00:00,CAD,6.636450,6.595900,6.677000,2026-01-08T10:30:00.925+00:00,SEK
2026-01-08T10:43:58.099+00:00,CDF,0.004009,0.003895,0.004123,2026-01-08T10:30:01.705+00:00,SEK
