retrieval_date,listed_currency,exchange_rate,bid_rate,offer_rate,last_updated_time,unit_currency
2026-01-14T10:45:06.775+00:00,AED,2.504750,2.459300,2.550200,2026-01-14T10:30:00.396+00:00,SEK
2026-01-14T10:45:06.775+00:00,AFN,0.138800,0.137700,0.139900,2026-01-14T10:30:00.378+00:00,SEK
2026-01-14T10:45:06.775+00:00,ALL,0.111050,0.109700,0.112400,2026-01-14T10:30:00.353+00:00,SEK
2026-01-14T10:45:06.775+00:00,AMD,0.024200,0.023800,0.024600,2026-01-14T10:30:00.344+00:00,SEK
2026-01-14T10:45:06.775+00:00,ANG,5.105400,5.024100,5.186700,2026-01-14T10:30:00.871+00:00,SEK
2026-01-14T10:45:06.775+00:00,AOA,0.010000,0.009800,0.010200,2026-01-14T10:30:00.370+00:00,SEK
2026-01-14T10:45:06.775+00:00,ARS,0.006274,0.006198,0.006350,2026-01-14T10:30:00.778+00:00,SEK
2026-01-14T10:45:06.775+00:00,AUD,6.156400,6.118850,6.193950,2026-01-14T10:30:00.402+00:00,SEK
2026-01-14T10:45:06.775+00:00,AWG,5.080000,4.960000,5.200000,2026-01-14T10:30:00.993+00:00,SEK
2026-01-14T10:45:06.775+00:00,AZN,5.415000,5.360000,5.470000,2026-01-14T10:30:01.031+00:00,SEK
2026-01-14T10:45:06.775+00:00,BAM,5.476750,5.420800,5.532700,2026-01-14T10:30:00.399+00:00,SEK
2026-01-14T10:45:06.775+00:00,BBD,4.568200,4.504100,4.632300,2026-01-14T10:30:01.049+00:00,SEK
2026-01-14T10:45:06.775+00:00,BDT,0.075300,0.074500,0.076100,2026-01-14T10:30:01.079+00:00,SEK
2026-01-14T10:45:06.775+00:00,BGN,5.482000,5.398900,5.565100,2026-01-14T10:30:01.130+00:00,SEK
2026-01-14T10:45:06.775+00:00,BHD,24.466800,23.969400,24.964200,2026-01-13T21:30:01.080+00:00,SEK
2026-01-14T10:45:06.775+00:00,BIF,0.003108,0.003076,0.003140,2026-01-14T10:30:01.180+00:00,SEK
2026-01-14T10:45:06.775+00:00,BMD,9.199800,9.143000,9.256600,2026-01-14T10:30:00.376+00:00,SEK
2026-01-14T10:45:06.775+00:00,BND,7.146300,7.101500,7.191100,2026-01-14T10:30:01.373+00:00,SEK
2026-01-14T10:45:06.775+00:00,BOB,1.331500,1.313700,1.349300,2026-01-14T10:30:01.377+00:00,SEK
2026-01-14T10:45:06.775+00:00,BRL,1.711269,1.661795,1.760743,2026-01-14T10:30:01.423+00:00,SEK
2026-01-14T10:45:06.775+00:00,BSD,9.199800,9.143000,9.256600,2026-01-14T10:30:01.116+00:00,SEK
