retrieval_date,listed_currency,exchange_rate,bid_rate,offer_rate,last_updated_time,unit_currency
2025-12-11T10:42:51.175+00:00,AED,2.521200,2.475500,2.566900,2025-12-11T10:30:00.358+00:00,SEK
2025-12-11T10:42:51.175+00:00,AFN,0.139900,0.138800,0.141000,2025-12-11T10:30:00.311+00:00,SEK
2025-12-11T10:42:51.175+00:00,ALL,0.112350,0.111000,0.113700,2025-12-11T10:30:00.461+00:00,SEK
2025-12-11T10:42:51.175+00:00,AMD,0.024250,0.024000,0.024500,2025-12-11T10:30:00.470+00:00,SEK
2025-12-11T10:42:51.175+00:00,ANG,5.138750,5.056900,5.220600,2025-12-11T10:30:00.454+00:00,SEK
2025-12-11T10:42:51.175+00:00,AOA,0.010050,0.009800,0.010300,2025-12-11T10:30:00.385+00:00,SEK
2025-12-11T10:42:51.175+00:00,ARS,0.006431,0.006361,0.006501,2025-12-11T10:30:00.837+00:00,SEK
2025-12-11T10:42:51.175+00:00,AUD,6.160395,6.122850,6.197940,2025-12-11T10:30:00.469+00:00,SEK
2025-12-11T10:42:51.175+00:00,AWG,5.120000,5.000000,5.240000,2025-12-11T10:30:01.160+00:00,SEK
2025-12-11T10:42:51.175+00:00,AZN,5.445000,5.390000,5.500000,2025-12-11T10:30:01.139+00:00,SEK
2025-12-11T10:42:51.175+00:00,BAM,5.527400,5.479300,5.575500,2025-12-11T10:30:00.407+00:00,SEK
2025-12-11T10:42:51.175+00:00,BBD,4.598000,4.533500,4.662500,2025-12-11T10:30:01.162+00:00,SEK
2025-12-11T10:42:51.175+00:00,BDT,0.075800,0.075000,0.076600,2025-12-11T10:30:01.291+00:00,SEK
2025-12-11T10:42:51.175+00:00,BGN,5.540600,5.456600,5.624600,2025-12-11T10:30:00.421+00:00,SEK
2025-12-11T10:42:51.175+00:00,BIF,0.003133,0.003101,0.003165,2025-12-11T10:30:01.297+00:00,SEK
2025-12-11T10:42:51.175+00:00,BMD,9.259850,9.202700,9.317000,2025-12-11T10:30:00.425+00:00,SEK
2025-12-11T10:42:51.175+00:00,BND,7.154500,7.110200,7.198800,2025-12-11T10:30:01.299+00:00,SEK
2025-12-11T10:42:51.175+00:00,BOB,1.340150,1.322300,1.358000,2025-12-11T10:30:01.299+00:00,SEK
2025-12-11T10:42:51.175+00:00,BRL,1.691516,1.643546,1.739486,2025-12-11T10:30:01.346+00:00,SEK
2025-12-11T10:42:51.175+00:00,BSD,9.259650,9.202500,9.316800,2025-12-11T10:30:01.361+00:00,SEK
2025-12-11T10:42:51.175+00:00,BWP,0.702750,0.618600,0.786900,2025-12-11T10:30:01.365+00:00,SEK
2025-12-11T10:42:51.175+00:00,BYN,3.156100,3.125100,3.187100,2025-12-11T10:30:01.373+00:00,SEK
2025-12-11T10:42:51.175+00:00,BZD,4.604350,4.551200,4.657500,2025-12-11T10:30:01.377+00:00,SEK
