retrieval_date,listed_currency,exchange_rate,bid_rate,offer_rate,last_updated_time,unit_currency
2025-12-10T10:43:21.677+00:00,AED,2.544650,2.498500,2.590800,2025-12-10T10:30:00.609+00:00,SEK
2025-12-10T10:43:21.677+00:00,AFN,0.141100,0.140000,0.142200,2025-12-10T10:30:00.610+00:00,SEK
2025-12-10T10:43:21.677+00:00,ALL,0.112650,0.111400,0.113900,2025-12-10T10:30:00.610+00:00,SEK
2025-12-10T10:43:21.677+00:00,AMD,0.024500,0.024100,0.024900,2025-12-10T10:30:00.586+00:00,SEK
2025-12-10T10:43:21.677+00:00,ANG,5.186600,5.104000,5.269200,2025-12-10T10:30:00.616+00:00,SEK
2025-12-10T10:43:21.677+00:00,AOA,0.010200,0.010000,0.010400,2025-12-10T10:30:00.644+00:00,SEK
2025-12-10T10:43:21.677+00:00,ARS,0.006463,0.006378,0.006547,2025-12-10T10:30:01.077+00:00,SEK
2025-12-10T10:43:21.677+00:00,AUD,6.214085,6.176160,6.252010,2025-12-10T10:30:00.634+00:00,SEK
2025-12-10T10:43:21.677+00:00,AWG,5.165000,5.040000,5.290000,2025-12-10T10:30:01.115+00:00,SEK
2025-12-10T10:43:21.677+00:00,AZN,5.495000,5.440000,5.550000,2025-12-10T10:30:01.015+00:00,SEK
2025-12-10T10:43:21.677+00:00,BAM,5.546800,5.498600,5.595000,2025-12-10T10:30:00.643+00:00,SEK
2025-12-10T10:43:21.677+00:00,BBD,4.640900,4.575800,4.706000,2025-12-10T10:30:01.120+00:00,SEK
2025-12-10T10:43:21.677+00:00,BDT,0.076500,0.075700,0.077300,2025-12-10T10:30:01.501+00:00,SEK
2025-12-10T10:43:21.677+00:00,BGN,5.560450,5.476100,5.644800,2025-12-10T10:30:00.659+00:00,SEK
2025-12-10T10:43:21.677+00:00,BHD,24.946600,24.442300,25.450900,2025-12-08T21:30:01.160+00:00,SEK
2025-12-10T10:43:21.677+00:00,BIF,0.003161,0.003122,0.003201,2025-12-10T10:30:01.572+00:00,SEK
2025-12-10T10:43:21.677+00:00,BMD,9.347300,9.289500,9.405100,2025-12-10T10:30:06.087+00:00,SEK
2025-12-10T10:43:21.677+00:00,BND,7.211950,7.166700,7.257200,2025-12-10T10:30:01.581+00:00,SEK
2025-12-10T10:43:21.677+00:00,BOB,1.352850,1.334800,1.370900,2025-12-10T10:30:01.578+00:00,SEK
2025-12-10T10:43:21.677+00:00,BRL,1.719307,1.670260,1.768353,2025-12-10T10:30:01.606+00:00,SEK
2025-12-10T10:43:21.677+00:00,BSD,9.347050,9.289300,9.404800,2025-12-10T10:30:01.608+00:00,SEK
2025-12-10T10:43:21.677+00:00,BWP,0.706550,0.621700,0.791400,2025-12-10T10:30:01.608+00:00,SEK
2025-12-10T10:43:21.677+00:00,BYN,3.217700,3.181500,3.253900,2025-12-10T10:30:01.638+00:00,SEK
2025-12-10T10:43:21.677+00:00,BZD,4.647800,4.594100,4.701500,2025-12-10T10:30:01.641+00:00,SEK
2025-12-10T10:43:21.677+00:00,CAD,6.746600,6.705400,6.787800,2025-12-10T10:30:00.700+00:00,SEK
2025-12-10T10:43:21.677+00:00,CDF,0.004084,0.003953,0.004214,2025-12-10T10:30:01.653+00:00,SEK
2025-12-10T10:43:21.677+00:00,CHF,11.606500,11.535700,11.677300,2025-12-10T10:30:00.707+00:00,SEK
2025-12-10T10:43:21.677+00:00,CLP,0.010095,0.009977,0.010214,2025-12-10T10:30:01.662+00:00,SEK
2025-12-10T10:43:21.677+00:00,CNY,1.323350,1.312600,1.334100,2025-12-10T10:30:01.232+00:00,SEK
2025-12-10T10:43:21.677+00:00,COP,0.002422,0.002397,0.002446,2025-12-10T10:30:01.674+00:00,SEK
2025-12-10T10:43:21.677+00:00,CRC,0.019000,0.018700,0.019300,2025-12-10T10:30:01.676+00:00,SEK
2025-12-10T10:43:21.677+00:00,CUP,0.389425,0.387058,0.391792,2025-12-10T10:30:01.234+00:00,SEK
2025-12-10T10:43:21.677+00:00,CVE,0.098200,0.097100,0.099300,2025-12-10T10:30:01.679+00:00,SEK
2025-12-10T10:43:21.677+00:00,CZK,0.448360,0.444250,0.452470,2025-12-10T10:30:01.221+00:00,SEK
2025-12-10T10:43:21.677+00:00,DJF,0.052500,0.052000,0.053000,2025-12-10T10:30:01.690+00:00,SEK
2025-12-10T10:43:21.677+00:00,DKK,1.456105,1.448440,1.463770,2025-12-10T10:30:01.291+00:00,SEK
2025-12-10T10:43:21.677+00:00,DOP,0.145100,0.143700,0.146500,2025-12-10T10:30:02.061+00:00,SEK
2025-12-10T10:43:21.677+00:00,DZD,0.071800,0.068500,0.075100,2025-12-10T10:30:02.079+00:00,SEK
2025-12-10T10:43:21.677+00:00,EGP,0.196192,0.187391,0.204994,2025-12-10T10:30:02.113+00:00,SEK
2025-12-10T10:43:21.677+00:00,ERN,0.620000,0.613100,0.626900,2025-12-10T10:30:01.311+00:00,SEK
2025-12-10T10:43:21.677+00:00,ETB,0.060000,0.059400,0.060600,2025-12-10T10:30:02.139+00:00,SEK
2025-12-10T10:43:21.677+00:00,EUR,10.875700,10.807900,10.943500,2025-12-10T10:30:01.334+00:00,SEK
2025-12-10T10:43:21.677+00:00,FJD,4.114400,4.037500,4.191300,2025-12-10T10:30:02.161+00:00,SEK
2025-12-10T10:43:21.677+00:00,GBP,12.441050,12.355100,12.527000,2025-12-10T10:30:01.348+00:00,SEK
2025-12-10T10:43:21.677+00:00,GEL,3.465100,3.405500,3.524700,2025-12-10T10:30:02.174+00:00,SEK
2025-12-10T10:43:21.677+00:00,GHS,0.814250,0.779800,0.848700,2025-12-10T10:30:02.171+00:00,SEK
