retrieval_date,listed_currency,exchange_rate,bid_rate,offer_rate,last_updated_time,unit_currency
2025-10-29T10:47:23.461+00:00,AED,2.549000,2.502800,2.595200,2025-10-29T10:30:00.299+00:00,SEK
2025-10-29T10:47:23.461+00:00,AFN,0.140350,0.139200,0.141500,2025-10-29T10:30:00.281+00:00,SEK
2025-10-29T10:47:23.461+00:00,ALL,0.112450,0.111400,0.113500,2025-10-29T10:30:00.287+00:00,SEK
2025-10-29T10:47:23.461+00:00,AMD,0.024450,0.024200,0.024700,2025-10-29T10:30:00.273+00:00,SEK
2025-10-29T10:47:23.461+00:00,ANG,5.195600,5.112900,5.278300,2025-10-29T10:30:00.281+00:00,SEK
2025-10-29T10:47:23.461+00:00,AOA,0.010200,0.010000,0.010400,2025-10-29T10:30:00.359+00:00,SEK
2025-10-29T10:47:23.461+00:00,ARS,0.006325,0.006244,0.006406,2025-10-29T10:30:00.624+00:00,SEK
2025-10-29T10:47:23.461+00:00,AUD,6.179305,6.141620,6.216990,2025-10-29T10:30:00.285+00:00,SEK
2025-10-29T10:47:23.461+00:00,AWG,5.175000,5.050000,5.300000,2025-10-29T10:30:00.665+00:00,SEK
2025-10-29T10:47:23.461+00:00,AZN,5.505000,5.450000,5.560000,2025-10-29T10:30:01.203+00:00,SEK
2025-10-29T10:47:23.461+00:00,BAM,5.560850,5.512700,5.609000,2025-10-29T10:30:00.300+00:00,SEK
2025-10-29T10:47:23.461+00:00,BBD,4.648900,4.583700,4.714100,2025-10-29T10:30:01.104+00:00,SEK
2025-10-29T10:47:23.461+00:00,BDT,0.076600,0.076000,0.077200,2025-10-29T10:30:03.848+00:00,SEK
2025-10-29T10:47:23.461+00:00,BGN,5.574550,5.490200,5.658900,2025-10-29T10:30:00.367+00:00,SEK
2025-10-29T10:47:23.461+00:00,BHD,24.831350,24.329200,25.333500,2025-10-29T10:30:01.153+00:00,SEK
2025-10-29T10:47:23.461+00:00,BIF,0.003175,0.003142,0.003208,2025-10-29T10:30:01.160+00:00,SEK
2025-10-29T10:47:23.461+00:00,BMD,9.362300,9.304500,9.420100,2025-10-29T10:30:00.453+00:00,SEK
2025-10-29T10:47:23.461+00:00,BND,7.233200,7.187900,7.278500,2025-10-29T10:30:01.163+00:00,SEK
2025-10-29T10:47:23.461+00:00,BOB,1.355000,1.336900,1.373100,2025-10-29T10:30:01.190+00:00,SEK
2025-10-29T10:47:23.461+00:00,BRL,1.746206,1.697764,1.794647,2025-10-29T10:30:01.349+00:00,SEK
2025-10-29T10:47:23.461+00:00,BSD,9.362300,9.304500,9.420100,2025-10-29T10:30:01.351+00:00,SEK
2025-10-29T10:47:23.461+00:00,BWP,0.708700,0.623700,0.793700,2025-10-29T10:30:01.354+00:00,SEK
2025-10-29T10:47:23.461+00:00,BYN,2.747150,2.725600,2.768700,2025-10-29T10:30:01.366+00:00,SEK
2025-10-29T10:47:23.461+00:00,BZD,4.655350,4.601600,4.709100,2025-10-29T10:30:01.367+00:00,SEK
2025-10-29T10:47:23.461+00:00,CAD,6.717150,6.676100,6.758200,2025-10-29T10:30:00.577+00:00,SEK
