retrieval_date,listed_currency,exchange_rate,bid_rate,offer_rate,last_updated_time,unit_currency
2025-12-24T10:38:30.597+00:00,AED,2.494200,2.449000,2.539400,2025-12-24T10:30:00.422+00:00,SEK
2025-12-24T10:38:30.597+00:00,AFN,0.140150,0.138500,0.141800,2025-12-18T22:00:02.658+00:00,SEK
2025-12-24T10:38:30.597+00:00,ALL,0.112550,0.111400,0.113700,2025-12-19T21:30:00.636+00:00,SEK
2025-12-24T10:38:30.597+00:00,AMD,0.024300,0.024000,0.024600,2025-12-19T21:30:00.633+00:00,SEK
2025-12-24T10:38:30.597+00:00,ANG,5.083650,5.002700,5.164600,2025-12-24T10:30:00.368+00:00,SEK
2025-12-24T10:38:30.597+00:00,AOA,0.009950,0.009700,0.010200,2025-12-24T10:30:00.424+00:00,SEK
2025-12-24T10:38:30.597+00:00,ARS,0.006279,0.006177,0.006381,2025-12-24T10:30:00.892+00:00,SEK
2025-12-24T10:38:30.597+00:00,AUD,6.148430,6.110980,6.185880,2025-12-24T10:30:00.422+00:00,SEK
2025-12-24T10:38:30.597+00:00,AWG,5.060000,4.940000,5.180000,2025-12-24T10:30:00.983+00:00,SEK
2025-12-24T10:38:30.597+00:00,AZN,5.455000,5.400000,5.510000,2025-12-19T21:30:00.792+00:00,SEK
2025-12-24T10:38:30.597+00:00,BAM,5.546500,5.490000,5.603000,2025-12-19T21:30:00.689+00:00,SEK
2025-12-24T10:38:30.597+00:00,BBD,4.548700,4.484900,4.612500,2025-12-24T10:30:00.837+00:00,SEK
2025-12-24T10:38:30.597+00:00,BDT,0.075850,0.075300,0.076400,2025-12-19T21:30:00.690+00:00,SEK
2025-12-24T10:38:30.597+00:00,BGN,5.526100,5.442300,5.609900,2025-12-24T10:30:00.446+00:00,SEK
2025-12-24T10:38:30.597+00:00,BHD,24.496300,23.998400,24.994200,2025-12-22T21:30:01.143+00:00,SEK
2025-12-24T10:38:30.597+00:00,BIF,0.003135,0.003103,0.003168,2025-12-19T21:30:01.105+00:00,SEK
2025-12-24T10:38:30.597+00:00,BMD,9.160550,9.104000,9.217100,2025-12-24T10:30:00.636+00:00,SEK
2025-12-24T10:38:30.597+00:00,BND,7.170300,7.124200,7.216400,2025-12-19T21:30:01.108+00:00,SEK
2025-12-24T10:38:30.597+00:00,BOB,1.339050,1.316300,1.361800,2025-12-19T21:30:01.109+00:00,SEK
2025-12-24T10:38:30.597+00:00,BRL,1.658120,1.473452,1.842788,2025-12-24T10:30:06.326+00:00,SEK
2025-12-24T10:38:30.597+00:00,BSD,9.160550,9.104000,9.217100,2025-12-24T10:30:01.253+00:00,SEK
2025-12-24T10:38:30.597+00:00,BWP,0.702100,0.618100,0.786100,2025-12-24T10:30:01.260+00:00,SEK
2025-12-24T10:38:30.597+00:00,BYN,3.143400,3.108800,3.178000,2025-12-24T10:30:01.262+00:00,SEK
2025-12-24T10:38:30.597+00:00,BZD,4.555100,4.502500,4.607700,2025-12-24T10:30:01.274+00:00,SEK
2025-12-24T10:38:30.597+00:00,CAD,6.699450,6.658500,6.740400,2025-12-24T10:30:00.697+00:00,SEK
2025-12-24T10:38:30.597+00:00,CDF,0.004093,0.004032,0.004155,2025-12-19T21:30:01.274+00:00,SEK
2025-12-24T10:38:30.597+00:00,CHF,11.646350,11.575300,11.717400,2025-12-24T10:30:00.726+00:00,SEK
2025-12-24T10:38:30.597+00:00,CLP,0.010094,0.009864,0.010324,2025-12-24T10:30:01.594+00:00,SEK
2025-12-24T10:38:30.597+00:00,CNY,1.307900,1.297300,1.318500,2025-12-24T10:30:00.761+00:00,SEK
2025-12-24T10:38:30.597+00:00,COP,0.002432,0.002330,0.002535,2025-12-24T10:30:00.498+00:00,SEK
2025-12-24T10:38:30.597+00:00,CRC,0.018600,0.018200,0.019000,2025-12-19T21:30:01.351+00:00,SEK
2025-12-24T10:38:30.597+00:00,CUP,0.386295,0.383931,0.388659,2025-12-19T21:30:01.358+00:00,SEK
2025-12-24T10:38:30.597+00:00,CVE,0.097600,0.096500,0.098700,2025-12-24T10:30:01.507+00:00,SEK
2025-12-24T10:38:30.597+00:00,CZK,0.445350,0.441270,0.449430,2025-12-24T10:30:00.874+00:00,SEK
